rank,name,score,source,SMILES
"
91,AO-476/42008147,1.52,Specs,"C(#N)c1c(c2ccc(cc2)Cl)c2c(c3ccccc3CC2)nc1OCC=C	AO-476/42008147
"
92,AP-960/41299812,1.52,Specs,"c1cc(ccc1n1c2c(c(=O)n(c3ccc(cc3)Cl)c1=S)CCCO2)Cl	AP-960/41299812
"
93,AG-690/12404942,1.519,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)Br)C1)C	AG-690/12404942
"
94,AG-690/40749461,1.518,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SC)c1ccc(cc1)Cl	AG-690/40749461
"
95,AO-476/15578132,1.518,Specs,"c1ccc(cc1)c1cc(c2ccc(cc2)OC)nc2c1c(ncn2)N	AO-476/15578132
"
96,AO-476/43250025,1.517,Specs,"c1ccc(cc1)c1cc(c2c(ncnc2N)n1)c1cccc(c1)OC	AO-476/43250025
"
97,AG-205/08567008,1.517,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC)c1ccc(cc1)OC	AG-205/08567008
"
98,AE-842/32998057,1.517,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@H]2CCCC[C@H]12	AE-842/32998057
"
99,AG-690/12404942,1.515,Specs,"c1cc(ccc1C1=Nc2ncnn2[C@@H](c2ccc(cc2)Br)C1)C	AG-690/12404942
"
100,AE-842/32998057,1.515,Specs,"c1ccc(cc1)C1=NN(c2ccc(cc2)Cl)[C@H]2CCCC[C@H]12	AE-842/32998057
"
